sentence,active_clause,passive_clause,number_of_passive,of_the,sentence_length_in_characters,sentence_length_in_words,longest_word,longest_word_length,punctuation,punctuation_length
"
It was in Burma, a sodden morning of the rains.",False,False,0,True,48,12,morning,7,",.",2
"A sickly light, like yellow tinfoil, was slanting over the high walls into the jail yard.",False,False,0,False,89,19,slanting,8,",,.",3
"We were waiting outside the condemned cells, a row of sheds fronted with double bars, like small animal cages.",False,False,0,False,110,22,condemned,9,",,.",3
Each cell measured about ten feet by ten and was quite bare within except for a plank bed and a pot of drinking water.,False,False,0,False,118,25,measured,8,.,1
"In some of them brown silent men were squatting at the inner bars, with their blankets draped round them.",False,False,0,True,105,21,squatting,9,",.",2
"These were the condemned men, due to be hanged within the next week or two.",False,True,1,False,75,17,condemned,9,",.",2
One prisoner had been brought out of his cell.,False,True,1,False,46,10,prisoner,8,.,1
"He was a Hindu, a puny wisp of a man, with a shaven head and vague liquid eyes.",False,False,0,False,79,21,shaven,6,",,.",3
"He had a thick, sprouting moustache, absurdly too big for his body, rather like the moustache of a comic man on the films.",False,False,0,False,122,27,sprouting,9,",,,.",4
Six tall Indian warders were guarding him and getting him ready for the gallows.,False,False,0,False,80,15,guarding,8,.,1
"Two of them stood by with rifles and fixed bayonets, while the others handcuffed him, passed a chain through his handcuffs and fixed it to their belts, and lashed his arms tight to his sides.",False,False,0,True,191,39,handcuffed,10,",,,.",4
"They crowded very close about him, with their hands always on him in a careful, caressing grip, as though all the while feeling him to make sure he was there.",False,False,0,False,158,34,caressing,9,",,,.",4
It was like men handling a fish which is still alive and may jump back into the water.,False,False,0,False,86,19,handling,8,.,1
"But he stood quite unresisting, yielding his arms limply to the ropes, as though he hardly noticed what was happening.",False,False,0,False,118,23,unresisting,11,",,.",3
"Eight o'clock struck and a bugle call, desolately thin in the wet air, floated from the distant barracks.",False,False,0,False,105,21,desolately,10,"',,.",4
"The superintendent of the jail, who was standing apart from the rest of us, moodily prodding the gravel with his stick, raised his head at the sound.",False,False,0,True,149,31,superintendent,14,",,,.",4
"He was an army doctor, with a grey toothbrush moustache and a gruff voice.",False,False,0,False,74,16,toothbrush,10,",.",2
"‘For God's sake hurry up, Francis,’ he said irritably.",False,False,0,False,54,14,irritably,9,"‘',,’.",6
‘The man ought to have been dead by this time.,False,False,0,False,46,11,ought,5,‘.,2
"Aren't you ready yet?’
Francis, the head jailer, a fat Dravidian in a white drill suit and gold spectacles, waved his black hand.",False,False,0,False,129,30,spectacles,10,"'?’,,,.",7
"‘Yes sir, yes sir,’ he bubbled.",False,False,0,False,31,10,bubbled,7,"‘,,’.",5
‘All iss satisfactorily prepared.,False,False,0,False,33,5,satisfactorily,14,‘.,2
The hangman iss waiting.,False,False,0,False,24,5,hangman,7,.,1
"We shall proceed.’
‘Well, quick march, then.",False,False,0,False,44,10,proceed.’,9,".’‘,,.",6
"The prisoners can't get their breakfast till this job's over.’
We set out for the gallows.",False,False,0,False,90,19,prisoners,9,''.’.,5
"Two warders marched on either side of the prisoner, with their rifles at the slope; two others marched close against him, gripping him by arm and shoulder, as though at once pushing and supporting him.",False,False,0,True,201,40,supporting,10,",;,,.",5
"The rest of us, magistrates and the like, followed behind.",False,False,0,False,58,13,magistrates,11,",,.",3
"Suddenly, when we had gone ten yards, the procession stopped short without any order or warning.",False,False,0,False,96,19,procession,10,",,.",3
"A dreadful thing had happened — a dog, come goodness knows whence, had appeared in the yard.",False,False,0,False,92,20,dreadful,8,"—,,.",4
"It came bounding among us with a loud volley of barks, and leapt round us wagging its whole body, wild with glee at finding so many human beings together.",False,False,0,False,154,32,bounding,8,",,.",3
"It was a large woolly dog, half Airedale, half pariah.",False,False,0,False,54,13,Airedale,8,",,.",3
"For a moment it pranced round us, and then, before anyone could stop it, it had made a dash for the prisoner, and jumping up tried to lick his face.",False,False,0,False,148,35,prisoner,8,",,,,.",5
"Everyone stood aghast, too taken aback even to grab at the dog.",False,False,0,False,63,14,Everyone,8,",.",2
‘Who let that bloody brute in here?’ said the superintendent angrily.,False,False,0,False,69,14,superintendent,14,‘?’.,4
"‘Catch it, someone!’
A warder, detached from the escort, charged clumsily after the dog, but it danced and gambolled just out of his reach, taking everything as part of the game.",False,False,0,True,178,39,everything,10,"‘,!’,,,,.",9
"A young Eurasian jailer picked up a handful of gravel and tried to stone the dog away, but it dodged the stones and came after us again.",False,False,0,False,136,29,Eurasian,8,",.",2
Its yaps echoed from the jail wails.,False,False,0,False,36,8,echoed,6,.,1
"The prisoner, in the grasp of the two warders, looked on incuriously, as though this was another formality of the hanging.",False,False,0,True,122,25,incuriously,11,",,,.",4
It was several minutes before someone managed to catch the dog.,False,False,0,False,63,12,several,7,.,1
"Then we put my handkerchief through its collar and moved off once more, with the dog still straining and whimpering.",False,False,0,False,116,22,handkerchief,12,",.",2
It was about forty yards to the gallows.,False,False,0,False,40,9,gallows,7,.,1
I watched the bare brown back of the prisoner marching in front of me.,False,False,0,True,70,15,prisoner,8,.,1
"He walked clumsily with his bound arms, but quite steadily, with that bobbing gait of the Indian who never straightens his knees.",False,False,0,True,129,25,straightens,11,",,.",3
"At each step his muscles slid neatly into place, the lock of hair on his scalp danced up and down, his feet printed themselves on the wet gravel.",False,False,0,False,145,31,themselves,10,",,.",3
"And once, in spite of the men who gripped him by each shoulder, he stepped slightly aside to avoid a puddle on the path.",False,False,0,True,120,27,shoulder,8,",,.",3
"It is curious, but till that moment I had never realized what it means to destroy a healthy, conscious man.",False,False,0,False,107,23,conscious,9,",,.",3
"When I saw the prisoner step aside to avoid the puddle, I saw the mystery, the unspeakable wrongness, of cutting a life short when it is in full tide.",False,False,0,False,150,33,unspeakable,11,",,,.",4
"This man was not dying, he was alive just as we were alive.",False,False,0,False,59,15,dying,5,",.",2
"All the organs of his body were working — bowels digesting food, skin renewing itself, nails growing, tissues forming — all toiling away in solemn foolery.",False,False,0,False,155,30,digesting,9,"—,,,—.",6
"His nails would still be growing when he stood on the drop, when he was falling through the air with a tenth of a second to live.",False,False,0,False,129,29,growing,7,",.",2
"His eyes saw the yellow gravel and the grey walls, and his brain still remembered, foresaw, reasoned — reasoned even about puddles.",False,False,0,False,131,26,remembered,10,",,,—.",5
"He and we were a party of men walking together, seeing, hearing, feeling, understanding the same world; and in two minutes, with a sudden snap, one of us would be gone — one mind less, one world less.",False,True,1,False,200,47,understanding,13,",,,,;,,—,.",10
"The gallows stood in a small yard, separate from the main grounds of the prison, and overgrown with tall prickly weeds.",False,False,0,True,119,24,overgrown,9,",,.",3
"It was a brick erection like three sides of a shed, with planking on top, and above that two beams and a crossbar with the rope dangling.",False,False,0,False,137,30,erection,8,",,.",3
"The hangman, a grey-haired convict in the white uniform of the prison, was waiting beside his machine.",False,False,0,True,102,20,grey-haired,11,",-,.",4
He greeted us with a servile crouch as we entered.,False,False,0,False,50,11,greeted,7,.,1
"At a word from Francis the two warders, gripping the prisoner more closely than ever, half led, half pushed him to the gallows and helped him clumsily up the ladder.",False,False,0,False,165,34,gripping,8,",,,.",4
Then the hangman climbed up and fixed the rope round the prisoner's neck.,False,False,0,False,73,15,prisoner,8,'.,2
"We stood waiting, five yards away.",False,False,0,False,34,8,waiting,7,",.",2
The warders had formed in a rough circle round the gallows.,False,False,0,False,59,12,warders,7,.,1
"And then, when the noose was fixed, the prisoner began crying out on his god.",False,True,1,False,77,18,prisoner,8,",,.",3
"It was a high, reiterated cry of ‘Ram!",False,False,0,False,38,10,reiterated,10,",‘!",3
Ram!,False,False,0,False,4,2,Ram,3,!,1
Ram!,False,False,0,False,4,2,Ram,3,!,1
"Ram!’, not urgent and fearful like a prayer or a cry for help, but steady, rhythmical, almost like the tolling of a bell.",False,False,0,False,121,30,rhythmical,10,"!’,,,,.",7
The dog answered the sound with a whine.,False,False,0,False,40,9,answered,8,.,1
"The hangman, still standing on the gallows, produced a small cotton bag like a flour bag and drew it down over the prisoner's face.",False,False,0,False,131,28,standing,8,",,'.",4
"But the sound, muffled by the cloth, still persisted, over and over again: ‘Ram!",False,False,0,False,80,19,persisted,9,",,,:‘!",6
Ram!,False,False,0,False,4,2,Ram,3,!,1
Ram!,False,False,0,False,4,2,Ram,3,!,1
Ram!,False,False,0,False,4,2,Ram,3,!,1
"Ram!’
The hangman climbed down and stood ready, holding the lever.",False,False,0,False,66,15,hangman,7,"!’,.",4
Minutes seemed to pass.,False,False,0,False,23,5,Minutes,7,.,1
"The steady, muffled crying from the prisoner went on and on, ‘Ram!",False,False,0,False,66,15,prisoner,8,",,‘!",4
Ram!,False,False,0,False,4,2,Ram,3,!,1
Ram!’ never faltering for an instant.,False,False,0,False,37,9,faltering,9,!’.,3
"The superintendent, his head on his chest, was slowly poking the ground with his stick; perhaps he was counting the cries, allowing the prisoner a fixed number — fifty, perhaps, or a hundred.",False,False,0,False,191,40,superintendent,14,",,;,—,,.",8
Everyone had changed colour.,False,False,0,False,28,5,Everyone,8,.,1
"The Indians had gone grey like bad coffee, and one or two of the bayonets were wavering.",False,False,0,True,88,19,bayonets,8,",.",2
"We looked at the lashed, hooded man on the drop, and listened to his cries — each cry another second of life; the same thought was in all our minds: oh, kill him quickly, get it over, stop that abominable noise!",False,False,0,False,211,49,abominable,10,",,—;:,,,!",9
Suddenly the superintendent made up his mind.,False,False,0,False,45,8,superintendent,14,.,1
Throwing up his head he made a swift motion with his stick.,False,False,0,False,59,13,Throwing,8,.,1
‘Chalo!’ he shouted almost fiercely.,False,False,0,False,36,8,fiercely,8,‘!’.,4
"There was a clanking noise, and then dead silence.",False,False,0,False,50,11,clanking,8,",.",2
"The prisoner had vanished, and the rope was twisting on itself.",False,False,0,False,63,13,prisoner,8,",.",2
"I let go of the dog, and it galloped immediately to the back of the gallows; but when it got there it stopped short, barked, and then retreated into a corner of the yard, where it stood among the weeds, looking timorously out at us.",False,False,0,True,232,52,immediately,11,",;,,,,.",7
We went round the gallows to inspect the prisoner's body.,False,False,0,False,57,12,prisoner,8,'.,2
"He was dangling with his toes pointed straight downwards, very slowly revolving, as dead as a stone.",False,False,0,False,100,20,downwards,9,",,.",3
"The superintendent reached out with his stick and poked the bare body; it oscillated, slightly.",False,False,0,False,95,18,superintendent,14,";,.",3
"‘He's all right,’ said the superintendent.",False,False,0,False,42,10,superintendent,14,"‘',’.",5
"He backed out from under the gallows, and blew out a deep breath.",False,False,0,False,65,15,gallows,7,",.",2
The moody look had gone out of his face quite suddenly.,False,False,0,False,55,12,suddenly,8,.,1
He glanced at his wrist-watch.,False,False,0,False,30,6,wrist-watch,11,-.,2
‘Eight minutes past eight.,False,False,0,False,26,5,minutes,7,‘.,2
"Well, that's all for this morning, thank God.’
The warders unfixed bayonets and marched away.",False,False,0,False,93,19,bayonets,8,",',.’.",6
"The dog, sobered and conscious of having misbehaved itself, slipped after them.",False,False,0,False,79,15,misbehaved,10,",,.",3
"We walked out of the gallows yard, past the condemned cells with their waiting prisoners, into the big central yard of the prison.",False,False,0,True,130,26,condemned,9,",,.",3
"The convicts, under the command of warders armed with lathis, were already receiving their breakfast.",False,False,0,False,101,18,receiving,9,",,.",3
"They squatted in long rows, each man holding a tin pannikin, while two warders with buckets marched round ladling out rice; it seemed quite a homely, jolly scene, after the hanging.",False,False,0,False,181,37,squatted,8,",,;,,.",6
An enormous relief had come upon us now that the job was done.,False,True,1,False,62,14,enormous,8,.,1
"One felt an impulse to sing, to break into a run, to snigger.",False,False,0,False,61,16,impulse,7,",,.",3
All at once everyone began chattering gaily.,False,False,0,False,44,8,chattering,10,.,1
"The Eurasian boy walking beside me nodded towards the way we had come, with a knowing smile: ‘Do you know, sir, our friend (he meant the dead man), when he heard his appeal had been dismissed, he pissed on the floor of his cell.",False,True,1,False,228,53,dismissed,9,",:‘,,(),,.",10
From fright.,False,False,0,False,12,3,fright,6,.,1
"— Kindly take one of my cigarettes, sir.",False,False,0,False,40,10,cigarettes,10,"—,.",3
"Do you not admire my new silver case, sir?",False,False,0,False,42,11,admire,6,",?",2
"From the boxwallah, two rupees eight annas.",False,False,0,False,43,9,boxwallah,9,",.",2
"Classy European style.’
Several people laughed — at what, nobody seemed certain.",False,False,0,False,80,14,European,8,".’—,.",5
"Francis was walking by the superintendent, talking garrulously.",False,False,0,False,63,10,superintendent,14,",.",2
"‘Well, sir, all hass passed off with the utmost satisfactoriness.",False,False,0,False,65,13,satisfactoriness,16,"‘,,.",4
It wass all finished — flick!,False,False,0,False,29,7,finished,8,—!,2
like that.,False,False,0,False,10,3,like,4,.,1
"It iss not always so — oah, no!",False,False,0,False,31,10,always,6,"—,!",3
I have known cases where the doctor wass obliged to go beneath the gallows and pull the prisoner's legs to ensure decease.,False,False,0,False,122,24,prisoner,8,'.,2
"Most disagreeable!’
‘Wriggling about, eh?",False,False,0,False,41,9,disagreeable,12,"!’‘,?",5
"That's bad,’ said the superintendent.",False,False,0,False,37,9,superintendent,14,"',’.",4
"‘Ach, sir, it iss worse when they become refractory!",False,False,0,False,52,12,refractory,10,"‘,,!",4
"One man, I recall, clung to the bars of hiss cage when we went to take him out.",False,False,0,False,79,21,recall,6,",,.",3
"You will scarcely credit, sir, that it took six warders to dislodge him, three pulling at each leg.",False,False,0,False,99,22,scarcely,8,",,,.",4
We reasoned with him.,False,False,0,False,21,5,reasoned,8,.,1
"“My dear fellow,” we said, “think of all the pain and trouble you are causing to us!” But no, he would not listen!",False,False,0,False,114,30,trouble,7,"“,”,“!”,!",9
"Ach, he wass very troublesome!’
I found that I was laughing quite loudly.",False,False,0,False,73,17,troublesome,11,",!’.",4
Everyone was laughing.,False,False,0,False,22,4,Everyone,8,.,1
Even the superintendent grinned in a tolerant way.,False,False,0,False,50,9,superintendent,14,.,1
"‘You'd better all come out and have a drink,’ he said quite genially.",False,False,0,False,69,17,genially,8,"‘',’.",5
‘I've got a bottle of whisky in the car.,False,False,0,False,40,11,bottle,6,‘'.,3
"We could do with it.’
We went through the big double gates of the prison, into the road.",False,False,0,True,88,20,through,7,".’,.",4
"‘Pulling at his legs!’ exclaimed a Burmese magistrate suddenly, and burst into a loud chuckling.",False,False,0,False,96,19,magistrate,10,"‘!’,.",5
We all began laughing again.,False,False,0,False,28,6,laughing,8,.,1
At that moment Francis's anecdote seemed extraordinarily funny.,False,False,0,False,63,10,extraordinarily,15,'.,2
"We all had a drink together, native and European alike, quite amicably.",False,False,0,False,71,15,together,8,",,.",3
The dead man was a hundred yards away.,False,False,0,False,38,9,hundred,7,.,1
"1931
THE END
",False,False,0,False,13,3,1931,4,,0
